Year;Mo;Maximum Water Height (m);Total Deaths;Total Damage ($Mil);Total Houses Destroyed;Total Houses Damaged;Country
;;;;;;;
1800;6;;;;;;PORTUGAL
1802;1;;;;;;CROATIA
1802;3;;;;;;ANTIGUA AND BARBUDA
1802;8;;;;;;UK
1802;8;;;;;;VENEZUELA
1802;8;;;;;;INDONESIA
1802;11;;;;1100;;ALGERIA
1802;12;;19;;1060;;JAPAN
1804;1;;;;;;GREECE
1804;1;;;;;;SPAIN
1804;6;;;;;;GREECE
1804;7;1;450;;10810;300;JAPAN
1804;7;;;;;;ITALY
1805;1;;;;;;GREECE
1805;5;5;;;1;;AUSTRALIA
1805;7;;;;;;ITALY
1806;3;;;;;;USA
1806;8;;;;;;ITALY
1806;12;1;;;;;PERU
1806;;1.5;;;;;FRENCH POLYNESIA
1808;4;0.15;2;;;;ITALY
1808;8;1.5;;;;;JAPAN
1808;12;;;;;;JAPAN
1809;7;;;;;;ITALY
1809;7;;;;;;PORTUGAL
1809;12;;;;;;SOUTH AFRICA
1809;;;;;;;USA TERRITORY
1810;2;;;;;;GREECE
1810;8;;;;;;MEXICO
1810;9;1;57;;1084;;JAPAN
1810;;;;;;;NEW ZEALAND
1810;;;;;;;NORWAY
1811;11;4;;;;;CHILE
1811;12;;;;;;USA
1811;12;;;;;;USA
1812;1;;;;;;USA
1812;2;;;;;;USA
1812;3;;26000;;;;VENEZUELA
1812;6;;;;;;FRANCE
1812;11;;;;;;JAMAICA
1812;12;3.4;1;;;;USA
1812;;;;;;;USA
1813;5;;;;;;ITALY
1813;;;;;;;USA
1814;;;;;;;INDONESIA
1815;4;4;60000;;;;INDONESIA
1815;4;;;;;;INDONESIA
1815;11;;11453;;;;INDONESIA
1816;2;;;;;;PORTUGAL
1816;5;;;;;;INDONESIA
1816;12;;;;;;JAPAN
1817;1;;;;;;GREECE
1817;1;0.3;;;;;USA
1817;1;;;;;;ITALY
1817;8;5;;;;;GREECE
1818;1;;;;;;GREECE
1818;2;;72;;;;ITALY
1818;2;;;;;;ITALY
1818;3;;;;;;INDONESIA
1818;11;3.5;;;;;INDONESIA
1818;12;;;;;;ITALY
1819;1;;;;;;ITALY
1819;4;4;;;;;CHILE
1819;6;;1543;;1547;;INDIA
1819;8;;;;;;NORWAY
1819;;;;;;;USA TERRITORY
1820;3;;;;;;USA
1820;3;;;;;;GREECE
1820;5;4;;;;;MEXICO
1820;7;;;;;;ITALY
1820;12;;8;;79;;GREECE
1820;12;25;500;;;;INDONESIA
1820;;;;;;;USA
1820;;;;;;;CONGO
1821;1;;;;;;GREECE
1821;4;;;;;;COSTA RICA
1821;5;;3;;;;UK TERRITORY
1821;9;;;;;;USA
1821;;;;;;;INDONESIA
1822;3;;;;;;LEBANON
1822;4;;;;;;ITALY
1822;5;;;;;;COSTA RICA
1822;8;;8000;;;;TURKEY
1822;11;3.6;72;;;;CHILE
1823;3;;;;;;ITALY
1823;5;2.74;;;;;USA
1823;8;;;;;;CROATIA
1823;9;0.3;;;;;INDONESIA
1823;10;;;;;;CROATIA
1823;11;;;;;;MARTINIQUE (FRENCH TERRITORY)
1824;9;;;;;;GUADELOUPE (FRENCH TERRITORY)
1824;10;;;;;;PHILIPPINES
1824;11;;;;;;MARTINIQUE (FRENCH TERRITORY)
1825;1;;;;;;DENMARK
1825;1;;58;;;;GREECE
1825;2;;;;;;COLOMBIA
1825;3;;;;;;USA
1825;4;;;;;;USA TERRITORY
1825;9;;;;;;TRINIDAD AND TOBAGO
1826;1;;;;;;JAPAN
1826;3;;;;;;ITALY
1826;10;;;;;;USA
1826;;;;;;;NEW ZEALAND
1827;1;;;;;;USA
1827;8;;;;;;USA
1827;8;;;;;;RUSSIA
1827;11;;;;;;ECUADOR
1827;;;;;;;USA
1828;3;;;;;;PERU
1828;5;;;;;;JAPAN
1828;10;;;;;;ITALY
1828;11;;;;;;PHILIPPINES
1828;12;;1443;;11750;;JAPAN
1828;12;;;;;;INDONESIA
1829;5;;;;;;TURKEY
1829;9;;;;;;CHILE
1830;1;;;;;;HOLLAND
1830;1;1;;;;;PHILIPPINES
1830;9;;;;;;PHILIPPINES
1831;5;;;;;;ITALY
1831;7;;;;;;ITALY
1831;12;;;;;;TRINIDAD AND TOBAGO
1831;;;;;;;NEW ZEALAND
1832;3;;234;;;;ITALY
1833;1;;;;;;ALBANIA
1833;3;;;;;;MEXICO
1833;9;;6700;;87620;;CHINA
1833;9;9;700;;1001;;PERU
1833;11;;;;;;INDONESIA
1833;12;9;85;;1140;1790;JAPAN
1834;2;;;;73;;JAPAN
1834;3;;;;;;MEXICO
1835;2;24;53;;;;CHILE
1835;7;;;;;;GREECE
1835;7;5;;;;;JAPAN
1835;8;;;;;;JAPAN
1836;1;;;;;;AUSTRALIA
1836;3;;;;;;INDONESIA
1836;4;;589;;;;ITALY
1836;7;;;;;;CHILE
1836;9;;;;;;JAPAN
1836;11;;;;;;INDONESIA
1837;1;;;;;;ISRAEL
1837;8;;;;;;NETHERLANDS
1837;8;;;;;;USA TERRITORY
1837;8;;;;;;MEXICO
1837;9;;;;;;INDONESIA
1837;10;;;;;;MEXICO
1837;10;;;;;;MICRONESIA, FED. STATES OF
1837;11;6;16;;;;CHILE
1838;5;0.8;;;;;CHILE
1838;8;;;;;;CROATIA
1839;2;;;;;;CHILE
1839;3;;;;;;USA
1839;5;;;;;;JAPAN
1839;;;;;;;NEW ZEALAND
1840;1;;;;;;INDONESIA
1840;1;;;;;;USA
1840;1;;;;;;PERU
1840;2;;;;500;;INDONESIA
1840;3;;52;;;;PHILIPPINES
1840;7;;;;;;NEW ZEALAND
1840;8;1;;;;;NEW ZEALAND
1840;11;;;;;;USA
1840;;;;;;;USA
1841;5;15;;;;;RUSSIA
1841;11;3;;;;;INDONESIA
1841;12;1.5;;;;;INDONESIA
1841;;;;;;;PERU
1842;5;5;5300;;;;HAITI
1842;11;;;;;;CANADA
1842;11;;;;;;BANGLADESH
1843;1;;;;;;INDONESIA
1843;2;;;;;;INDONESIA
1843;2;1.2;5000;;;;GUADELOUPE (FRENCH TERRITORY)
1843;2;;;;;;GUADELOUPE (FRENCH TERRITORY)
1843;4;4.5;45;;75;;JAPAN
1843;7;;;;;;UK
1843;7;;;;;;NEW ZEALAND
1843;9;;;;;;CROATIA
1843;10;;;;;;GREECE
1844;3;;;;;;CROATIA
1844;3;;;;;;JAPAN
1844;3;;;;;;CROATIA
1844;5;;;;;;NICARAGUA
1845;2;;118;;;;INDONESIA
1845;4;;;;;;MEXICO
1845;6;;;;;;ITALY
1845;6;;;;;;INDIA
1845;7;1;;;;;NEW ZEALAND
1845;8;;;;;;CROATIA
1845;9;;;;;;JAPAN
1845;;;100;;;;USA
1846;1;1.2;;;;;INDONESIA
1846;3;2;;;;;JAPAN
1846;5;;;;;;NEW ZEALAND
1846;7;;;;;;TURKEY
1846;8;;56;;;;ITALY
1846;8;;;;;;ITALY
1846;9;;;;;;ITALY
1846;9;;;;;;ITALY
1846;10;;;;;;ITALY
1846;10;;;;;;ITALY
